n	0.00	0.07
a	0.07	0.16
n	0.16	0.24
g	0.24	0.28
a	0.28	0.38
n	0.38	0.45
g	0.45	0.50
a	0.50	0.59
r	0.59	0.70
a	0.70	0.79
p	0.79	0.84
na	0.00	0.16
an	0.07	0.24
ng	0.16	0.28
ga	0.24	0.38
an	0.28	0.45
ng	0.38	0.50
ga	0.45	0.59
ar	0.50	0.70
ra	0.59	0.79
ap	0.70	0.84
ang	0.07	0.28
nga	0.16	0.38
ang	0.28	0.50
nga	0.38	0.59
