p	0.00	0.06
a	0.06	0.18
g	0.18	0.24
p	0.24	0.30
a	0.30	0.41
p	0.41	0.47
a	0.47	0.59
k	0.59	0.66
u	0.66	0.75
m	0.75	0.85
b	0.85	0.92
a	0.92	1.04
b	1.04	1.10
a	1.10	1.22
pa	0.00	0.18
ag	0.06	0.24
pa	0.24	0.41
ap	0.30	0.47
pa	0.41	0.59
ak	0.47	0.66
ku	0.59	0.75
um	0.66	0.85
ba	0.85	1.04
ab	0.92	1.10
ba	1.04	1.22
