p	0.00	0.03
a	0.03	0.10
g	0.10	0.13
t	0.13	0.17
u	0.17	0.22
t	0.22	0.25
u	0.25	0.30
l	0.30	0.36
u	0.36	0.41
n	0.41	0.46
g	0.46	0.49
a	0.49	0.56
n	0.56	0.61
pa	0.00	0.10
ag	0.03	0.13
tu	0.13	0.22
ut	0.17	0.25
tu	0.22	0.30
ul	0.25	0.36
lu	0.30	0.41
un	0.36	0.46
ng	0.41	0.49
ga	0.46	0.56
an	0.49	0.61
ung	0.36	0.49
nga	0.41	0.56
