p	1.87	1.91
i	1.91	2.00
n	2.00	2.07
a	2.07	2.18
g	2.18	2.23
p	2.23	2.27
i	2.27	2.36
p	2.36	2.40
i	2.40	2.49
l	2.49	2.56
i	2.56	2.64
a	2.64	2.75
n	2.75	2.82
g	2.82	2.87
pi	1.87	2.00
in	1.91	2.07
na	2.00	2.18
ag	2.07	2.23
pi	2.23	2.36
ip	2.27	2.40
pi	2.36	2.49
il	2.40	2.56
li	2.49	2.64
an	2.64	2.82
ng	2.75	2.87
ang	2.64	2.87
