p	0.81	0.83
i	0.83	0.88
n	0.88	0.92
a	0.92	0.98
g	0.98	1.01
p	1.01	1.03
u	1.03	1.07
p	1.07	1.10
u	1.10	1.14
y	1.14	1.17
a	1.17	1.23
t	1.23	1.26
a	1.26	1.32
n	1.32	1.36
pi	0.81	0.88
in	0.83	0.92
na	0.88	0.98
ag	0.92	1.01
pu	1.01	1.07
up	1.03	1.10
pu	1.07	1.14
uy	1.10	1.17
ya	1.14	1.23
at	1.17	1.26
ta	1.23	1.32
an	1.26	1.36
